"Part";"Value";"Device";"Package";"Description";"";
"J4";"PSM-210223";"PSM-210223";"PSM-210223";"";"";
"N1";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N2";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N3";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N4";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N5";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N6";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N7";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
"N8";"IN-14";"IN-14";"IN-14";"IN-14: medium numeric frontview nixie tube";"";
